Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,QR_ID,Owner_ID,Vehicle_Number,Masked_Contact,Registered_City,Anonymous_Notification,Emergency_Escalation
INC0001,Two Wheeler,Apartment Gate,Pune,Illegal Parking,Yes,Critical,2026-05-23 02:01:55.447517,90,High Priority,Urgent owner notification required,QR0005,QR0005,USER0005,TN70AB3353,98XXXX5127,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow
INC0002,Van,Traffic Junction,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-25 20:48:55.447542,90,High Priority,Urgent owner notification required,QR0097,QR0097,USER0097,TN23AB1118,98XXXX3517,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Standard Workflow
INC0003,Car,Narrow Lane,Bangalore,Emergency Access Blocked,No,Critical,2026-05-22 16:39:55.447552,55,Medium Priority,Standard obstruction resolution workflow,QR0259,QR0259,USER0259,TN60AB8385,98XXXX4852,Kochi,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Standard Workflow
INC0004,Mini Truck,Emergency Exit,Pune,Commercial Entrance Blocked,No,Critical,2026-05-25 05:38:55.447559,80,High Priority,Urgent owner notification required,QR0152,QR0152,USER0152,TN79AB7164,98XXXX3354,Bangalore,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0005,Van,Residential Street,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-21 09:26:55.447619,40,Low Priority,Low urgency monitoring,QR0270,QR0270,USER0270,TN98AB2354,98XXXX1834,Bangalore,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow
INC0006,Auto Rickshaw,Shop Entrance,Mumbai,Gate Blockage,Yes,Critical,2026-05-22 10:58:55.447626,85,High Priority,Urgent owner notification required,QR0248,QR0248,USER0248,TN69AB1977,98XXXX6140,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Standard Workflow
INC0007,Auto Rickshaw,Hospital Entrance,Pune,Roadside Congestion,No,Critical,2026-05-22 21:57:55.447633,65,Medium Priority,Standard obstruction resolution workflow,QR0219,QR0219,USER0219,TN91AB8396,98XXXX3638,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Standard Workflow
INC0008,Car,Pedestrian Sidewalk,Kochi,Illegal Parking,Yes,Critical,2026-05-27 08:57:55.447639,70,Medium Priority,Standard obstruction resolution workflow,QR0161,QR0161,USER0161,TN71AB5769,98XXXX1003,Chennai,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0009,Car,Pedestrian Sidewalk,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-21 16:20:55.447644,55,Medium Priority,Standard obstruction resolution workflow,QR0071,QR0071,USER0071,TN62AB6588,98XXXX6723,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0010,Two Wheeler,Residential Street,Mumbai,Illegal Parking,No,Low,2026-05-24 09:30:55.447650,25,Low Priority,Low urgency monitoring,QR0259,QR0259,USER0259,TN60AB8385,98XXXX4852,Kochi,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow
INC0011,Mini Truck,Pedestrian Sidewalk,Pune,Commercial Entrance Blocked,No,Medium,2026-05-21 03:49:55.447655,40,Low Priority,Low urgency monitoring,QR0208,QR0208,USER0208,TN77AB9338,98XXXX5329,Delhi,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Standard Workflow
INC0012,Van,Pedestrian Sidewalk,Delhi,Illegal Parking,Yes,Critical,2026-05-26 03:35:55.447660,70,Medium Priority,Standard obstruction resolution workflow,QR0167,QR0167,USER0167,TN37AB4544,98XXXX2633,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0013,Van,Pedestrian Sidewalk,Bangalore,Pedestrian Path Obstructed,No,Low,2026-05-27 12:26:55.447665,55,Medium Priority,Standard obstruction resolution workflow,QR0211,QR0211,USER0211,TN83AB8622,98XXXX7151,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0014,Mini Truck,Emergency Exit,Hyderabad,Gate Blockage,No,Critical,2026-05-24 14:52:55.447670,80,High Priority,Urgent owner notification required,QR0229,QR0229,USER0229,TN81AB5047,98XXXX9371,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0015,Taxi,Shop Entrance,Pune,Roadside Congestion,Yes,Critical,2026-05-26 01:18:55.447675,70,Medium Priority,Standard obstruction resolution workflow,QR0052,QR0052,USER0052,TN95AB8595,98XXXX1804,Bangalore,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Standard Workflow
INC0016,Auto Rickshaw,Emergency Exit,Mumbai,Pedestrian Path Obstructed,No,Critical,2026-05-23 02:25:55.447680,95,High Priority,Urgent owner notification required,QR0140,QR0140,USER0140,TN32AB9403,98XXXX5822,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0017,Mini Truck,Hospital Entrance,Pune,Gate Blockage,No,Critical,2026-05-21 08:58:55.447685,80,High Priority,Urgent owner notification required,QR0129,QR0129,USER0129,TN40AB6686,98XXXX2087,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow
INC0018,Taxi,Commercial Complex,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 21:55:55.447689,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0181,QR0181,USER0181,TN45AB5940,98XXXX7343,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Escalation Required
INC0019,Taxi,Hospital Entrance,Mumbai,Illegal Parking,No,Critical,2026-05-27 06:26:55.447694,65,Medium Priority,Standard obstruction resolution workflow,QR0212,QR0212,USER0212,TN61AB2660,98XXXX2707,Chennai,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Standard Workflow
INC0020,Mini Truck,Traffic Junction,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-23 00:30:55.447699,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0253,QR0253,USER0253,TN42AB7825,98XXXX8629,Kochi,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Escalation Required
INC0021,Car,School Zone,Chennai,Illegal Parking,No,Low,2026-05-21 08:05:55.447703,65,Medium Priority,Standard obstruction resolution workflow,QR0087,QR0087,USER0087,TN47AB5101,98XXXX3226,Chennai,[NOTICE] Your vehicle may be causing access inconvenience near School Zone.,Standard Workflow
INC0022,Two Wheeler,Apartment Gate,Kochi,Roadside Congestion,Yes,Critical,2026-05-26 15:24:55.447708,90,High Priority,Urgent owner notification required,QR0291,QR0291,USER0291,TN33AB1200,98XXXX2837,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow
INC0023,Two Wheeler,Emergency Exit,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-24 11:01:55.447713,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0238,QR0238,USER0238,TN44AB7014,98XXXX2540,Kochi,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
