Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,QR_ID,Owner_ID,Vehicle_Number,Masked_Contact,Registered_City,Anonymous_Notification,Emergency_Escalation,Location_Encoded,Priority_Encoded,Obstruction_Encoded,Emergency_Flag,Severity_Score,Accessibility_Risk_Index,Urban_Cluster,Anomaly_Flag,Anomaly_Status
INC0001,Van,Narrow Lane,Kochi,Gate Blockage,Yes,Critical,2026-05-20 20:12:31.623059,85,High Priority,Urgent owner notification required,QR0209,QR0209,USER0209,TN37AB9338,98XXXX6877,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Standard Workflow,4,1,2,1,3,102.5,0,1,Normal Incident
INC0002,Two Wheeler,Apartment Gate,Hyderabad,Commercial Entrance Blocked,No,Medium,2026-05-23 14:42:31.623088,60,Medium Priority,Standard obstruction resolution workflow,QR0030,QR0030,USER0030,TN40AB4112,98XXXX4048,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow,0,3,0,0,2,50.0,3,1,Normal Incident
INC0003,Two Wheeler,Emergency Exit,Bangalore,Illegal Parking,No,Critical,2026-05-21 00:34:31.623099,65,Medium Priority,Standard obstruction resolution workflow,QR0087,QR0087,USER0087,TN75AB4123,98XXXX7151,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Emergency Exit.,Standard Workflow,2,3,3,0,3,62.5,3,1,Normal Incident
INC0004,Taxi,Hospital Entrance,Bangalore,Gate Blockage,No,Critical,2026-05-23 12:57:31.623106,80,High Priority,Urgent owner notification required,QR0119,QR0119,USER0119,TN69AB5467,98XXXX1977,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow,3,1,2,1,3,100.0,0,1,Normal Incident
INC0005,Taxi,Emergency Exit,Hyderabad,Gate Blockage,Yes,Critical,2026-05-26 17:26:31.623112,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0061,QR0061,USER0061,TN53AB3264,98XXXX1735,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required,2,0,2,1,3,122.5,1,1,Normal Incident
INC0006,Taxi,School Zone,Pune,Roadside Congestion,Yes,Critical,2026-05-21 23:00:31.623118,110,High Priority,Urgent owner notification required,QR0277,QR0277,USER0277,TN85AB2525,98XXXX2129,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow,7,1,5,1,3,115.0,1,1,Normal Incident
INC0007,Taxi,Shop Entrance,Mumbai,Illegal Parking,Yes,Critical,2026-05-26 08:11:31.623125,70,Medium Priority,Standard obstruction resolution workflow,QR0030,QR0030,USER0030,TN40AB4112,98XXXX4048,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Standard Workflow,8,3,3,0,3,65.0,3,1,Normal Incident
INC0008,Auto Rickshaw,Hospital Entrance,Bangalore,Gate Blockage,Yes,Critical,2026-05-27 09:24:31.623130,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0206,QR0206,USER0206,TN62AB6272,98XXXX8731,Chennai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required,3,0,2,1,3,122.5,1,1,Normal Incident
INC0009,Auto Rickshaw,Residential Street,Delhi,Roadside Congestion,Yes,Critical,2026-05-21 03:39:31.623135,70,Medium Priority,Standard obstruction resolution workflow,QR0297,QR0297,USER0297,TN39AB3231,98XXXX8482,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Standard Workflow,6,3,5,0,3,65.0,3,1,Normal Incident
INC0010,Two Wheeler,Hospital Entrance,Hyderabad,Commercial Entrance Blocked,Yes,Critical,2026-05-22 18:45:31.623141,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0168,QR0168,USER0168,TN24AB5613,98XXXX9762,Pune,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required,3,0,0,1,3,122.5,1,1,Normal Incident
