Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,Urban_Risk_Score,Governance_Risk_Level,Estimated_Response_Time,Assigned_Authority,Governance_Recommendation
INC0001,Two Wheeler,Apartment Gate,Pune,Illegal Parking,Yes,Critical,2026-05-23 02:01:55.447517,90,High Priority,Urgent owner notification required,QR0005,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0002,Van,Traffic Junction,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-25 20:48:55.447542,90,High Priority,Urgent owner notification required,QR0097,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0003,Car,Narrow Lane,Bangalore,Emergency Access Blocked,No,Critical,2026-05-22 16:39:55.447552,55,Medium Priority,Standard obstruction resolution workflow,QR0259,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0004,Mini Truck,Emergency Exit,Pune,Commercial Entrance Blocked,No,Critical,2026-05-25 05:38:55.447559,80,High Priority,Urgent owner notification required,QR0152,60,Moderate Risk Zone,Within 2 Hours,Disaster Response Control Unit,Standard obstruction resolution workflow recommended.
INC0005,Van,Residential Street,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-21 09:26:55.447619,40,Low Priority,Low urgency monitoring,QR0270,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0006,Auto Rickshaw,Shop Entrance,Mumbai,Gate Blockage,Yes,Critical,2026-05-22 10:58:55.447626,85,High Priority,Urgent owner notification required,QR0248,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0007,Auto Rickshaw,Hospital Entrance,Pune,Roadside Congestion,No,Critical,2026-05-22 21:57:55.447633,65,Medium Priority,Standard obstruction resolution workflow,QR0219,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0008,Car,Pedestrian Sidewalk,Kochi,Illegal Parking,Yes,Critical,2026-05-27 08:57:55.447639,70,Medium Priority,Standard obstruction resolution workflow,QR0161,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0009,Car,Pedestrian Sidewalk,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-21 16:20:55.447644,55,Medium Priority,Standard obstruction resolution workflow,QR0071,55,Moderate Risk Zone,Within 2 Hours,Urban Pedestrian Safety Authority,Standard obstruction resolution workflow recommended.
INC0010,Two Wheeler,Residential Street,Mumbai,Illegal Parking,No,Low,2026-05-24 09:30:55.447650,25,Low Priority,Low urgency monitoring,QR0259,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0011,Mini Truck,Pedestrian Sidewalk,Pune,Commercial Entrance Blocked,No,Medium,2026-05-21 03:49:55.447655,40,Low Priority,Low urgency monitoring,QR0208,45,Low Risk Zone,Routine Monitoring,Urban Pedestrian Safety Authority,Routine monitoring sufficient.
INC0012,Van,Pedestrian Sidewalk,Delhi,Illegal Parking,Yes,Critical,2026-05-26 03:35:55.447660,70,Medium Priority,Standard obstruction resolution workflow,QR0167,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0013,Van,Pedestrian Sidewalk,Bangalore,Pedestrian Path Obstructed,No,Low,2026-05-27 12:26:55.447665,55,Medium Priority,Standard obstruction resolution workflow,QR0211,55,Moderate Risk Zone,Within 2 Hours,Urban Pedestrian Safety Authority,Standard obstruction resolution workflow recommended.
INC0014,Mini Truck,Emergency Exit,Hyderabad,Gate Blockage,No,Critical,2026-05-24 14:52:55.447670,80,High Priority,Urgent owner notification required,QR0229,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0015,Taxi,Shop Entrance,Pune,Roadside Congestion,Yes,Critical,2026-05-26 01:18:55.447675,70,Medium Priority,Standard obstruction resolution workflow,QR0052,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0016,Auto Rickshaw,Emergency Exit,Mumbai,Pedestrian Path Obstructed,No,Critical,2026-05-23 02:25:55.447680,95,High Priority,Urgent owner notification required,QR0140,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0017,Mini Truck,Hospital Entrance,Pune,Gate Blockage,No,Critical,2026-05-21 08:58:55.447685,80,High Priority,Urgent owner notification required,QR0129,80,High Monitoring Zone,Within 30 Minutes,Emergency Medical Access Authority,Continuous monitoring and owner notification required.
INC0018,Taxi,Commercial Complex,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 21:55:55.447689,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0181,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0019,Taxi,Hospital Entrance,Mumbai,Illegal Parking,No,Critical,2026-05-27 06:26:55.447694,65,Medium Priority,Standard obstruction resolution workflow,QR0212,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0020,Mini Truck,Traffic Junction,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-23 00:30:55.447699,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0253,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0021,Car,School Zone,Chennai,Illegal Parking,No,Low,2026-05-21 08:05:55.447703,65,Medium Priority,Standard obstruction resolution workflow,QR0087,35,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0022,Two Wheeler,Apartment Gate,Kochi,Roadside Congestion,Yes,Critical,2026-05-26 15:24:55.447708,90,High Priority,Urgent owner notification required,QR0291,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
